site_name,reg_no,permit_date,program_type,county,regional_office,pdf_url
H5 Data Centers - Ashburn,74276,,11/13/2023,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/26012/638633959746100000
Amazon Data Services Inc IAD-195/196/197/198,74277,,08/21/2025,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/31172/638936293176970000
Amazon Data Services Inc IAD-210/211,74278,,10/31/2023,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/26016/638633960792770000
Vantage Data Center VA3 LLC,74284,,03/27/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/26018/638633961956270000
Vantage Data Centers VA16 LLC,74287,,10/15/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/26261/638651998243870000
Amazon Data Services Inc. IAD450 Cosner Tech Campus,74288,,10/30/2024,Article 6 - mNSR,Spotsylvania County,https://www.deq.virginia.gov/home/showpublisheddocument/26644/638664764161700000
CyrusOne – NVA14,74290,,11/01/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/26720/638669941696770000
Kincora Data Center,74296,,01/20/2026,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/33143/639052996292800000
Amazon Data Services Inc - IAD - 550 Louisa REB,74299,,05/22/2025,Article 6 - mNSR,Louisa County,https://www.deq.virginia.gov/home/showpublisheddocument/29196/638839281424400000
Amazon Data Services Inc - IAD - 500/501,74300,,03/12/2025,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/28092/638778025658170000
"Amazon Data Services Inc - IAD-667, IAD-668, IAD-669, IAD-670, and IAD-671",74301,,03/12/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/28094/638778027138400000
"MECP1 Ashburn 2, LLC",74306,,09/18/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/32401/638989963110000000
Amazon Data Services Inc IAD-350,74309,,03/27/2025,Article 6 - mNSR,Stafford County,https://www.deq.virginia.gov/home/showpublisheddocument/28344/638790873414030000
"1501 Moran Road Development Owner, LLC",74315,,04/15/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/28686/638803848078830000
Amazon Data Services Inc IAD-205/307/317/612/612x,74317,,08/28/2025,Article 6 - mNSR,Manassas City,https://www.deq.virginia.gov/home/showpublisheddocument/31174/638936293181930000
Belmont Innovation Campus Data Center,74321,1,01/28/2026,,,
Amazon Data Services Inc - IAD-180,74323,,09/10/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/31176/638936293187170000
Cardinal Energy Corporation,80941,,10/02/2025,Article 6 - mNSR,Frederick County,https://www.deq.virginia.gov/home/showpublisheddocument/32400/638989963108100000
Anthem CDC 3,81609,,10/24/2013,Article 6 - mNSR,Harrisonburg City,https://www.deq.virginia.gov/home/showpublisheddocument/26022/638633962837530000
