site_name,reg_no,permit_date,program_type,county,regional_office,pdf_url
"NTT Global Data Centers Americas, Inc.",74120,,07/11/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25835/638880859260730000
"Amazon Data Services, Inc.  IAD-90 IAD-91 IAD-92",74121,,11/06/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25837/638669942387830000
"Digital Realty (Digital Loudoun 3 & 4, LLC)",74126,,10/12/2022,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25839/638628759087230000
Vint Hill Data Center LLC,74127,,10/06/2021,Article 6 - mNSR,Fauquier County,https://www.deq.virginia.gov/home/showpublisheddocument/25841/638628759702530000
"Amazon Data Services, Inc. IAD-100 IAD-101 IAD-102 IAD-103",74129,,06/28/2021,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25843/638628762496730000
"CoreSite Real Estate Sunrise Technology Park, LLC",74130,,03/03/2022,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25845/638628763112700000
QTS Investment Properties Ashburn LLC,74141,,06/10/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25847/638852257938270000
Equinix LLC - DC 13,74147,,02/26/2020,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25849/638628764147670000
"Amazon Data Services, Inc. IAD-114 IAD-115",74150,,08/27/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25628/638627830245070000
Wheeler Data Center,74152,,01/30/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25851/638628778348300000
"Amazon Data Services, Inc. IAD-144  IAD-145",74153,,06/21/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25853/638628778970430000
Aerospace Data Facility - East,74154,,02/21/2023,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/26123/638639808805630000
Iskander (LC-1A) Jamshid (LC-1B) Kaveh (LC2) Lohrasp Ventures (LC3),74155,,02/12/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25855/638754663567370000
Sentinel Ashburn Nexus,74156,,11/08/2018,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25857/638628779891900000
Compass IAD Datacenter,74160,,01/20/2023,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25859/638628780385130000
QTS Investment Properties Manassas LLC,74161,,10/01/2024,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/26026/638634507154830000
Vantage Data Centers VA11 VA12 VA13 VA14 VA15,74162,,04/20/2022,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25863/638628785479200000
"Hayden Technologies, LLC",74163,,04/30/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25865/638816888857770000
CyrusOne Northern Virginia Data Center - Maries Road,74164,,10/03/2022,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25867/638628786473030000
"Amazon Data Services, Inc. IAD-132 IAD-133",74167,,08/05/2022,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25869/638628786895530000
"Aligned Energy Data Centers (Ashburn), LLC",74169,,07/18/2022,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25926/638633793013470000
"Amazon Data Services, Inc. IAD-116 IAD-117",74170,,08/08/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25928/638905045800170000
"Amazon Data Services (IAD-130, IAD-131, IAD-313 and DCA-072))",74171,,01/27/2023,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25930/638633796930430000
Remington Technology Park Limited Partnership,74172,,12/06/2022,Article 6 - mNSR,Fauquier County,https://www.deq.virginia.gov/home/showpublisheddocument/25932/638633798982670000
CyrusOne Sterling IX/X/XI,74173,,11/06/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/32405/638989963116500000
